Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates
778.5240163,41,77,10,1,0,0,0,0,CHON,[M+Cl]-,743.554615,0.178408778,-1
778.5320482,41,78,10,0,1,0,0,0,CHO,[M+Cl]-,743.5626469,0.277887693,-1
778.5420695,0,0,0,0,0,0,0,0,,[M-H]-,779.549346,0,-1
778.5473447,45,78,7,0,1,0,0,0,CHO,[M+Cl]-,743.5779434,0.223609586,-1
778.560546,42,81,9,1,0,0,0,0,CHON,[M+Cl]-,743.5911447,-0.015481413,-1
778.5661124,0,0,0,0,0,0,0,0,,[M-H]-,779.5733889,0,-1
778.5782621,0,0,0,0,0,0,0,0,,[M-H]-,779.5855386,0,-1
778.5838773,46,82,6,0,1,0,0,0,CHO,[M+Cl]-,743.614476,0.025823388,-1
778.5966257,42,86,9,1,0,0,1,0,CHONP,[M-H]-,779.6039021,0.15100841,-1
778.5970246,43,85,8,1,0,0,0,0,CHON,[M+Cl]-,743.6276233,-0.14063543,-1
778.6147061,0,0,0,0,0,0,0,0,,[M-H]-,779.6219825,0,-1
778.6251899,0,0,0,0,0,0,0,0,,[M-H]-,779.6324663,0,-1
778.6333251,44,89,7,1,0,0,0,0,CHON,[M+Cl]-,743.6639238,-0.026287496,-1
778.6413139,43,89,10,1,0,0,0,0,CHON,[M-H]-,779.6485903,0.074092298,-1
778.6568498,47,89,7,1,0,0,0,0,CHON,[M-H]-,779.6641263,-0.284852959,-1
778.6930408,48,93,6,1,0,0,0,0,CHON,[M-H]-,779.7003173,-0.035344839,-1
779.2855154,0,0,0,0,0,0,0,0,,[M-H]-,780.2927919,0,-1
779.370734,0,0,0,0,0,0,0,0,,[M-H]-,780.3780105,0,-1
779.3930788,45,60,9,0,0,0,0,0,CHO,[M+Cl]-,744.4236775,0.075202632,-1
779.3971843,0,0,0,0,0,0,0,0,,[M-H]-,780.4044608,0,-1
779.403885,0,0,0,0,0,0,0,0,,[M-H]-,780.4111615,0,-1
779.4140713,42,64,11,0,0,0,0,0,CHO,[M+Cl]-,744.44467,0.259078597,-1
779.4295203,46,64,8,0,0,0,0,0,CHO,[M+Cl]-,744.460119,1.88E-05,-1
779.4506513,43,68,10,0,0,0,0,0,CHO,[M+Cl]-,744.48125,-0.002147566,-1
779.4740268,46,68,10,0,0,0,0,0,CHO,[M-H]-,780.4813032,-0.070263709,-1
779.4869393,44,72,9,0,0,0,0,0,CHO,[M+Cl]-,744.517538,0.128851863,-1
779.4953413,43,72,12,0,0,0,0,0,CHO,[M-H]-,780.5026177,-0.30743296,-1
779.5035913,0,0,0,0,0,0,0,0,,[M-H]-,780.5108677,0,-1
779.5079746,41,76,11,0,0,0,0,0,CHO,[M+Cl]-,744.5385733,0.255217886,-1
779.523295,45,76,8,0,0,0,0,0,CHO,[M+Cl]-,744.5538938,0.168777322,-1
779.531588,44,76,11,0,0,0,0,0,CHO,[M-H]-,780.5388645,-0.129680878,-1
779.5445109,42,80,10,0,0,0,0,0,CHO,[M+Cl]-,744.5751096,0.0525817,-1
779.5499382,0,0,0,0,0,0,0,0,,[M-H]-,780.5572147,0,-1
779.5597074,46,80,7,0,0,0,0,0,CHO,[M+Cl]-,744.5903061,0.132683961,-1
779.5655084,0,0,0,0,0,0,0,0,,[M-H]-,780.5727849,0,-1
779.5776969,0,0,0,0,0,0,0,0,,[M-H]-,780.5849734,0,-1
779.5816852,0,0,0,0,0,0,0,0,,[M-H]-,780.5889617,0,-1
779.5868917,0,0,0,0,0,0,0,0,,[M-H]-,780.5941682,0,-1
779.5957102,0,0,0,0,0,0,0,0,,[M-H]-,780.6029867,0,-1
