"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C33H52O12S1","protein","aliphatic","aliphatic",0.0385,-0.7879,1.58,0.36,-5,8,-0.1515
"C33H52O14","protein","aliphatic","aliphatic",0.0385,-0.7273,1.58,0.42,-6,8,-0.1818
"C37H52O11","lignin","unsaturated/lignin","unsaturated/lignin",0.2063,-0.8108,1.41,0.3,1,12,0.027
"C34H56O11S1","protein","aliphatic","aliphatic",0.0182,-0.9412,1.65,0.32,-5,7,-0.1471
"C35H56O10","lipid","aliphatic","aliphatic",0.1,-1.0286,1.6,0.29,-2,8,-0.0571
"C34H56O13","protein","aliphatic","aliphatic",0.0182,-0.8824,1.65,0.38,-6,7,-0.1765
"C35H60O12","protein","aliphatic","aliphatic",0,-1.0286,1.71,0.34,-6,6,-0.1714
"C36H64O9S1","lipid","aliphatic","aliphatic",-0.0164,-1.2222,1.78,0.25,-5,5,-0.1389
"C36H64O11","protein","aliphatic","aliphatic",-0.0164,-1.1667,1.78,0.31,-6,5,-0.1667
"C32H35O15N1","lignin","unsaturated/lignin","unsaturated/lignin",0.3191,-0.0625,1.09,0.47,0,16,0
"C29H39O17N1","lignin","unsaturated/lignin","unsaturated/lignin",0.0769,-0.069,1.34,0.59,-7,11,-0.2414
"C27H10O19","condensed_hydrocarbon","condensed aromatic","condensed aromatic",0.7714,1.037,0.37,0.7,4,23,0.1481
"C30H27O16P1","lignin","unsaturated/lignin","unsaturated/lignin",0.4286,0.1667,0.9,0.53,1,18,0.0333
"C30H26O18","lignin","unsaturated/lignin","unsaturated/lignin",0.4286,0.3333,0.87,0.6,0,18,0
"C32H30O14","lignin","unsaturated/lignin","unsaturated/lignin",0.44,-0.0625,0.94,0.44,4,18,0.125
"C31H30O17","lignin","unsaturated/lignin","unsaturated/lignin",0.3778,0.129,0.97,0.55,0,17,0
"C32H34O16","lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-0.0625,1.06,0.5,0,16,0
"C33H38O15","lignin","unsaturated/lignin","unsaturated/lignin",0.2941,-0.2424,1.15,0.45,0,15,0
"C30H42O17","lignin","unsaturated/lignin","unsaturated/lignin",0.0698,-0.2667,1.4,0.57,-7,10,-0.2333
"C34H42O14","lignin","unsaturated/lignin","unsaturated/lignin",0.2593,-0.4118,1.24,0.41,0,14,0
"C39H42O8","lignin","unsaturated/lignin","unsaturated/lignin",0.4286,-0.6667,1.08,0.21,11,19,0.2821
"C31H46O16","lignin","unsaturated/lignin","unsaturated/lignin",0.0435,-0.4516,1.48,0.52,-7,9,-0.2258
"C35H46O13","lignin","unsaturated/lignin","unsaturated/lignin",0.2281,-0.5714,1.31,0.37,0,13,0
"C33H54O12S1","protein","aliphatic","aliphatic",0,-0.8485,1.64,0.36,-6,7,-0.1818
"C33H54O14","protein","aliphatic","aliphatic",0,-0.7879,1.64,0.42,-7,7,-0.2121
"C37H54O11","lignin","unsaturated/lignin","unsaturated/lignin",0.1746,-0.8649,1.46,0.3,0,11,0
"C34H58O11S1","protein","aliphatic","aliphatic",-0.0182,-1,1.71,0.32,-6,6,-0.1765
"C35H58O10","lipid","aliphatic","aliphatic",0.0667,-1.0857,1.66,0.29,-3,7,-0.0857
"C34H58O13","protein","aliphatic","aliphatic",-0.0182,-0.9412,1.71,0.38,-7,6,-0.2059
"C39H58O7","lignin","unsaturated/lignin","unsaturated/lignin",0.2113,-1.1282,1.49,0.18,4,11,0.1026
"C35H62O12","protein","aliphatic","aliphatic",-0.0345,-1.0857,1.77,0.34,-7,5,-0.2
"C36H66O11","protein","aliphatic","aliphatic",-0.0492,-1.2222,1.83,0.31,-7,4,-0.1944
"C37H70O8S1","lipid","aliphatic","aliphatic",-0.0625,-1.4054,1.89,0.22,-6,3,-0.1622
"C38H74O7S1","lipid","aliphatic","aliphatic",-0.0746,-1.5263,1.95,0.18,-6,2,-0.1579
"C29H25O18N1","lignin","unsaturated/lignin","unsaturated/lignin",0.4211,0.4828,0.86,0.62,-1,18,-0.0345
"C22H24O20S1","tannin","unsaturated/lignin","unsaturated/lignin",0,0.8182,1.09,0.91,-10,11,-0.4545
"C20H32O23","other","aliphatic","aliphatic",-0.7647,0.7,1.6,1.15,-18,5,-0.9
"C32H36O16","lignin","unsaturated/lignin","unsaturated/lignin",0.2917,-0.125,1.12,0.5,-1,15,-0.0312
"C29H40O18","lignin","unsaturated/lignin","unsaturated/lignin",0.05,-0.1379,1.38,0.62,-8,10,-0.2759
"C33H40O15","lignin","unsaturated/lignin","unsaturated/lignin",0.2549,-0.303,1.21,0.45,-1,14,-0.0303
"C34H44O14","lignin","unsaturated/lignin","unsaturated/lignin",0.2222,-0.4706,1.29,0.41,-1,13,-0.0294
