"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C23H38O6","lipid","aliphatic","aliphatic",0.1,-1.1304,1.65,0.26,-1,5,-0.0435
"C25H42O2","lipid","aliphatic","aliphatic",0.1667,-1.52,1.68,0.08,3,5,0.12
"C24H42O5","lipid","aliphatic","aliphatic",0.0698,-1.3333,1.75,0.21,-1,4,-0.0417
"C22H46O4","lipid","aliphatic","lipid",-0.1,-1.7273,2.09,0.18,-4,0,-0.1818
"C28H42O2","lipid","aliphatic","aliphatic",0.2593,-1.3571,1.5,0.07,6,8,0.2143
"C25H46O4","lipid","aliphatic","aliphatic",0.0435,-1.52,1.84,0.16,-1,3,-0.04
"C26H50O3","lipid","aliphatic","aliphatic",0.0204,-1.6923,1.92,0.12,-1,2,-0.0385
"C27H54O2","lipid","aliphatic","lipid",0,-1.8519,2,0.07,-1,1,-0.037
"C18H33O7N1","protein","aliphatic","aliphatic+N",-0.1111,-0.8889,1.83,0.39,-5,3,-0.2778
"C20H41O5N1","lipid","aliphatic","lipid",-0.1515,-1.4,2.05,0.25,-5,1,-0.25
"C25H16O6","condensed_hydrocarbon","condensed aromatic","condensed aromatic",0.6818,-0.16,0.64,0.24,12,18,0.48
"C17H28O9","protein","aliphatic","aliphatic",-0.04,-0.5882,1.65,0.53,-5,4,-0.2941
"C23H24O7","lignin","unsaturated/lignin","unsaturated/lignin",0.4359,-0.4348,1.04,0.3,5,12,0.2174
"C20H28O9","lignin","unsaturated/lignin","unsaturated/lignin",0.1613,-0.5,1.4,0.45,-2,7,-0.1
"C24H28O6","lignin","unsaturated/lignin","unsaturated/lignin",0.381,-0.6667,1.17,0.25,5,11,0.2083
"C21H32O8","protein","aliphatic","aliphatic",0.1176,-0.7619,1.52,0.38,-2,6,-0.0952
"C25H32O5","lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-0.88,1.28,0.2,5,10,0.2
